,ABMAG,DEC,DITHER,IDX,RA,SOURCE,THETA,VEL
1,20.9249770543,-21.6099249827,2,1,8.27567084156,0,279.972867807,0.612411481629
5,24.4402981791,-21.6897798499,2,5,7.90041382482,1,85.5148392126,4.87964958737
9,21.5798900911,-21.4693324703,2,9,8.20729858977,2,296.740271758,10.6312077921
13,23.2024363603,-21.3375332613,2,13,8.26440297477,3,347.669711295,0.0106654753368
17,20.0874497749,-21.4899002264,2,17,8.13926517395,4,350.136401006,0.119395887999
21,25.5124820486,-21.4566754132,2,21,8.00036912829,5,163.24172907,21.3650697875
25,25.4042891247,-21.6936477772,2,25,7.98898470574,6,219.255286594,0.608371732038
29,20.2005285658,-21.4563267154,2,29,8.2702673814,7,279.189545258,0.127853770076
33,25.7416960177,-21.2291544456,2,33,7.9745086036,8,230.980804113,0.749658661159
41,21.7029701177,-21.3348797621,2,41,8.23329663345,10,12.6131486765,6.37137946091
45,23.6364991062,-21.6456173057,2,45,8.36669206769,11,107.44180952,0.154903358264
49,25.6653508163,-21.2530212555,2,49,7.89204335015,12,21.0644970775,0.747793818853
57,20.0135554011,-21.6173009647,2,57,8.29615889822,14,134.227450035,2.19095162936
65,23.3122257996,-21.6880254084,2,65,8.25080925082,16,92.2607817576,17.4829947619
69,22.912264482,-21.6416151311,2,69,8.03592661192,17,125.129237455,0.200121787277
73,24.6088049244,-21.5417921137,2,73,8.34929628321,18,3.38859722915,4.13287077781
81,24.587362702,-21.3208419598,2,81,8.16227378479,20,341.673905404,10.6373183817
85,20.1248587877,-21.2908599744,2,85,7.96108550363,21,78.4436432874,0.0241473745384
89,20.8112610702,-21.5276778173,2,89,8.07666575024,22,114.980891897,0.110523900549
93,20.6976381044,-21.5406225536,2,93,8.22710544696,23,330.39805896,0.448027769144
97,21.8593855069,-21.6441261866,2,97,8.11112918805,24,11.4853199184,2.18717014589
101,24.0287158713,-21.6580203264,2,101,8.10701415437,25,23.4304333353,0.0786466310284
